No.,Change Position,Name,Net worth (USD Billions),Age,Nationality,Source(s) of wealth
1,Steady,Jeff Bezos,177,57,United States,Amazon
2,Increase,Elon Musk,151,49,United States,Tesla&SpaceX
3,Steady,Bernard Arnault,150,72,France,LVMH
4,Decrease,Bill Gates,124,65,United States,Microsoft
5,Increase,Mark Zuckerberg,97,36,United States,Facebook
6,Decrease,Warren Buffett,96,90,United States,Berkshire Hathaway
7,Decrease,Larry Ellison,93,76,United States,Oracle Corporation
8,Increase,Larry Page,91.5,48,United States,Alphabet Inc.
9,Increase,Sergey Brin,89,47,United States,Alphabet Inc.
10,Increase,Mukesh Ambani,84.5,63,India,Reliance Industries